Date,Air Temp Max (C),Air Temp Min (C),Air Temp Mean (C),24-hour Total Precip (mm),Season Total Precip (mm),% of Precip as Snow,% of Precip as Rain,New Snow (cm),Season Total Snow (cm),Snowpack depth (cm),Snow Water Equivalent (cm),Remarks
1971-03-25,0,-1.665,-0.8325,14.986,1422.99,,,15.24,1038.17,240.792,92.964,
1971-03-26,-1.11,-5.55,-3.33,73.152,1496.142,,,50.8,1088.97,284.48,102.616,
1971-03-27,5.55,-7.77,-1.11,20.32,1516.462,,,--,1088.97,--,--,
1971-03-28,11.655,-5.55,3.0525,6.096,1522.558,,,--,1088.97,--,--,
1971-03-29,13.875,-4.44,4.7175,0,1522.558,,,--,1088.97,259.08,103.124,
1971-03-30,6.105,-11.655,-2.775,0,1522.558,,,--,1088.97,--,--,
1971-03-31,4.995,-6.66,-0.8325,1.27,1523.828,,,T,1088.97,--,--,
1971-04-01,10.545,-6.105,2.22,0,1524,--,--,0,1089,--,--,
1971-04-02,9.435,-6.105,1.665,0,1524,,,0,1089,236.474,99.822,
1971-04-03,11.1,-2.775,4.1625,0,1524,,,0,1089,--,--,
1971-04-04,14.43,-3.885,5.2725,0,1524,,,0,1089,--,--,
1971-04-05,13.875,-1.11,6.3825,0,1524,,,0,1089,224.79,97.79,
1971-04-06,8.88,-2.775,3.0525,1.27,1525.27,,,0,1089,220.472,94.742,
1971-04-07,0.555,-10.545,-4.995,10.16,1535.43,,,10.16,1099.16,228.6,96.266,
1971-04-08,6.66,-4.44,1.11,3.81,1539.24,,,T,1099.16,225.806,96.012,
1971-04-09,5.55,-4.44,0.555,0,1539.24,,,0,1099.16,216.154,93.218,
1971-04-10,-1.665,-7.77,-4.7175,15.24,1554.48,,,10.16,1109.32,--,--,
1971-04-11,5.55,-5.55,0,2.032,1556.512,,,0,1109.32,--,--,
1971-04-12,12.765,-3.885,4.44,0,1556.512,,,0,1109.32,216.154,94.488,
1971-04-13,8.88,-1.11,3.885,0,1556.512,,,0,1109.32,212.344,91.948,
1971-04-14,11.1,-2.22,4.44,3.302,1559.814,,,T,1109.32,207.264,89.662,
1971-04-15,11.1,-2.775,4.1625,0,1559.814,,,0,1109.32,202.946,88.392,
1971-04-16,7.77,-6.66,0.555,0,1559.814,,,0,1109.32,195.58,86.106,
1971-04-17,-0.555,-5.55,-3.0525,13.97,1573.784,,,10.16,1119.48,--,--,
1971-04-18,3.33,-4.44,-0.555,3.556,1577.34,,,0,1119.48,--,--,
1971-04-19,10.545,-0.555,4.995,0.508,1577.848,,,0,1119.48,196.342,85.344,
1971-04-20,0,-10.545,-5.2725,0,1577.848,,,0,1119.48,190.754,83.312,
1971-04-21,2.22,-9.99,-3.885,23.622,1601.47,,,24.13,1143.61,216.154,86.106,
1971-04-22,4.44,-2.22,1.11,0,1601.47,,,0,1143.61,202.692,87.122,
1971-04-23,3.885,-11.655,-3.885,0,1601.47,,,0,1143.61,--,--,
1971-04-24,1.665,-4.995,-1.665,12.7,1614.17,,,--,1143.61,--,--,
1971-04-25,3.33,-2.22,0.555,11.43,1625.6,,,--,1143.61,--,--,
1971-04-26,3.885,-4.44,-0.2775,11.43,1637.03,,,16.51,1160.12,--,--,
1971-04-27,8.88,-4.44,2.22,0,1637.03,,,0,1160.12,209.296,88.646,
1971-04-28,9.99,-4.995,2.4975,0,1637.03,,,0,1160.12,202.946,87.884,
1971-04-29,11.1,-2.22,4.44,0,1637.03,,,0,1160.12,196.596,86.36,
1971-04-30,12.765,-1.11,5.8275,0,1637.03,,,0,1160.12,185.42,82.804,
1971-05-01,11.655,0,5.8275,0,1637,--,--,0,1160.1,--,--,
1971-05-02,8.88,-2.22,3.33,0,1637,,,0,1160.1,--,--,
1971-05-03,3.885,-0.555,1.665,7.62,1644.62,,,5.08,1165.18,172.974,77.216,
1971-05-04,3.33,-1.11,1.11,11.176,1655.796,,,6.858,1172.038,176.276,77.978,
1971-05-05,8.325,-1.11,3.6075,0,1655.796,,,0,1172.038,171.958,76.2,
1971-05-06,6.105,-1.11,2.4975,2.794,1658.59,,,T,1172.038,168.656,74.93,
1971-05-07,9.435,0.555,4.995,0,1658.59,,,0,1172.038,165.608,73.66,
1971-05-08,2.22,0.555,1.3875,10.16,1668.75,,,0,1172.038,--,--,
1971-05-09,11.655,0,5.8275,3.048,1671.798,,,0,1172.038,--,--,
1971-05-10,12.765,-2.775,4.995,0,1671.798,,,2.54,1174.578,153.416,67.818,
1971-05-11,14.43,-0.555,6.9375,0,1671.798,,,0,1174.578,143.002,64.516,
1971-05-12,11.655,1.665,6.66,1.778,1673.576,,,0,1174.578,136.144,61.214,
1971-05-13,10.545,-0.555,4.995,3.81,1677.386,,,0,1174.578,128.27,58.42,
1971-05-14,14.43,-1.665,6.3825,0,1677.386,,,0,1174.578,120.65,54.356,
1971-05-15,13.32,-4.44,4.44,0,1677.386,,,0,1174.578,--,--,
1971-05-16,6.66,-5.55,0.555,0,1677.386,,,0,1174.578,--,--,
1971-05-17,7.215,-2.775,2.22,0,1677.386,,,0,1174.578,97.536,44.45,
1971-05-18,11.1,-2.775,4.1625,0,1677.386,,,0,1174.578,91.186,41.91,
1971-05-19,11.655,-1.11,5.2725,0,1677.386,,,0,1174.578,84.074,38.608,
1971-05-20,9.99,-3.33,3.33,0,1677.386,,,0,1174.578,76.708,35.052,
1971-05-21,3.33,0,1.665,10.922,1688.308,,,5.08,1179.658,77.724,33.528,
1971-05-22,11.655,0,5.8275,0,1688.308,,,0,1179.658,--,--,
1971-05-23,15.54,0.555,8.0475,0,1688.308,,,0,1179.658,--,--,
1971-05-24,15.54,0.555,8.0475,0,1688.308,,,0,1179.658,55.372,25.146,
1971-05-25,12.765,2.22,7.4925,0,1688.308,,,0,1179.658,44.196,20.32,
1971-05-26,4.995,0.555,2.775,8.382,1696.69,,,0,1179.658,--,--,
1971-05-27,4.995,-0.555,2.22,1.016,1697.706,,,0,1179.658,--,--,
1971-05-28,6.105,-2.775,1.665,11.684,1709.39,,,0,1179.658,--,--,
1971-05-29,8.325,-0.555,3.885,0,1709.39,,,0,1179.658,--,--,
1971-05-30,2.22,-5.55,-1.665,3.81,1713.2,,,0,1179.658,--,--,
1971-05-31,1.665,-2.22,-0.2775,11.176,1724.376,,,0,1179.658,--,--,
1971-06-01,3.885,-4.995,-0.555,13.462,1737.4,--,--,15.24,1194.9,45.72,--,
1971-06-02,11.1,-1.11,4.995,0,1737.4,,,0,1194.9,--,--,
1971-06-03,11.1,-1.11,4.995,0,1737.4,,,0,1194.9,T,--,large patches
1971-06-04,11.1,-0.555,5.2725,0,1737.4,,,0,1194.9,T,--,large patches
1971-06-05,14.985,1.11,8.0475,1.27,1738.67,,,0,1194.9,T,--,large patches
1971-06-06,16.65,0.555,8.6025,0,1738.67,,,0,1194.9,T,--,large patches
1971-06-07,17.205,0.555,8.88,0,1738.67,,,0,1194.9,T,--,large patches
1971-06-08,15.54,1.665,8.6025,0,1738.67,,,0,1194.9,T,--,large patches
1971-06-09,13.875,1.665,7.77,0,1738.67,,,0,1194.9,T,--,large patches
1971-06-10,12.21,0.555,6.3825,0,1738.67,,,0,1194.9,T,--,large patches
1971-06-11,18.315,1.11,9.7125,0,1738.67,,,0,1194.9,T,--,large patches
1971-06-12,16.095,0.555,8.325,0,1738.67,,,0,1194.9,T,--,large patches
1971-06-13,14.43,0,7.215,0,1738.67,,,0,1194.9,T,--,large patches
1971-06-14,21.09,1.665,11.3775,0,1738.67,,,0,1194.9,T,--,small patches
1971-06-15,22.2,2.22,12.21,0,1738.67,,,0,1194.9,T,--,small patches
1971-06-16,21.09,1.665,11.3775,0,1738.67,,,0,1194.9,T,--,small patches
1971-06-17,18.87,2.775,10.8225,0,1738.67,,,0,1194.9,T,--,small patches
1971-06-18,16.65,4.44,10.545,0,1738.67,,,0,1194.9,T,--,small patches
1971-06-19,17.76,2.22,9.99,0,1738.67,,,0,1194.9,T,--,small patches
1971-06-20,23.31,2.775,13.0425,0,1738.67,,,0,1194.9,T,--,small patches
1971-06-21,21.09,2.775,11.9325,0,1738.67,,,0,1194.9,T,--,small patches
1971-06-22,21.09,2.775,11.9325,0,1738.67,,,0,1194.9,T,--,small patches
1971-06-23,19.98,3.33,11.655,0,1738.67,,,0,1194.9,T,--,small patches
1971-06-24,19.425,3.33,11.3775,0,1738.67,,,0,1194.9,T,--,small patches
1971-06-25,18.315,8.325,13.32,0,1738.67,,,0,1194.9,T,--,small patches
1971-06-26,8.325,4.44,6.3825,9.652,1748.322,,,0,1194.9,T,--,small patches
1971-06-27,12.765,0.555,6.66,36.068,1784.39,,,0,1194.9,T,--,small patches
1971-06-28,14.985,1.665,8.325,0,1784.39,,,0,1194.9,T,--,small patches
1971-06-29,18.315,4.995,11.655,0,1784.39,,,0,1194.9,T,--,small patches
1971-06-30,22.2,3.885,13.0425,0,1784.39,,,0,1194.9,T,--,small patches
1971-07-01,22.755,3.33,13.0425,0,1784,--,--,0,1194.9,0,0,
1971-07-02,19.98,8.88,14.43,0,1784,,,0,1194.9,0,0,
1971-07-03,21.09,2.775,11.9325,0,1784,,,0,1194.9,0,0,
1971-07-04,20.535,4.44,12.4875,0,1784,,,0,1194.9,0,0,
1971-07-05,14.43,3.885,9.1575,0,1784,,,0,1194.9,0,0,
1971-07-06,21.09,4.44,12.765,0,1784,,,0,1194.9,0,0,
1971-07-07,19.98,3.885,11.9325,0,1784,,,0,1194.9,0,0,
1971-07-08,19.425,2.775,11.1,0,1784,,,0,1194.9,0,0,
1971-07-09,18.87,5.55,12.21,0,1784,,,0,1194.9,0,0,
1971-07-10,16.095,1.11,8.6025,0,1784,,,0,1194.9,0,0,
1971-07-11,22.2,3.33,12.765,0,1784,,,0,1194.9,0,0,
1971-07-12,23.865,4.44,14.1525,0,1784,,,0,1194.9,0,0,
1971-07-13,25.53,8.325,16.9275,0,1784,,,0,1194.9,0,0,
1971-07-14,27.75,8.88,18.315,0,1784,,,0,1194.9,0,0,
1971-07-15,27.195,11.655,19.425,0,1784,,,0,1194.9,0,0,
1971-07-16,28.305,12.21,20.2575,0,1784,,,0,1194.9,0,0,
1971-07-17,25.53,12.21,18.87,0,1784,,,0,1194.9,0,0,
1971-07-18,22.755,9.99,16.3725,3.556,1787.556,,,0,1194.9,0,0,
1971-07-19,25.53,10.545,18.0375,0,1787.556,,,0,1194.9,0,0,
1971-07-20,25.53,8.325,16.9275,0,1787.556,,,0,1194.9,0,0,
1971-07-21,26.085,8.325,17.205,0,1787.556,,,0,1194.9,0,0,
1971-07-22,25.53,6.66,16.095,0,1787.556,,,0,1194.9,0,0,
1971-07-23,25.53,8.325,16.9275,0,1787.556,,,0,1194.9,0,0,
1971-07-24,26.64,7.77,17.205,0,1787.556,,,0,1194.9,0,0,
1971-07-25,26.085,8.88,17.4825,0,1787.556,,,0,1194.9,0,0,
1971-07-26,26.64,-7.77,9.435,0,1787.556,,,0,1194.9,0,0,
1971-07-27,29.415,10.545,19.98,0,1787.556,,,0,1194.9,0,0,
1971-07-28,27.75,10.545,19.1475,0,1787.556,,,0,1194.9,0,0,
1971-07-29,27.195,11.1,19.1475,0,1787.556,,,0,1194.9,0,0,
1971-07-30,27.75,11.655,19.7025,0,1787.556,,,0,1194.9,0,0,
1971-07-31,26.64,10.545,18.5925,0,1787.556,,,0,1194.9,0,0,
1971-08-01,27.75,9.99,18.87,0,1788,--,--,0,1194.9,0,0,
1971-08-02,26.64,9.435,18.0375,0,1788,,,0,1194.9,0,0,
1971-08-03,24.975,8.88,16.9275,0,1788,,,0,1194.9,0,0,
1971-08-04,23.865,8.88,16.3725,0,1788,,,0,1194.9,0,0,
1971-08-05,25.53,8.325,16.9275,0,1788,,,0,1194.9,0,0,
1971-08-06,25.53,7.215,16.3725,0,1788,,,0,1194.9,0,0,
1971-08-07,23.865,8.88,16.3725,0,1788,,,0,1194.9,0,0,
1971-08-08,26.64,12.765,19.7025,0,1788,,,0,1194.9,0,0,
1971-08-09,30.525,13.875,22.2,0,1788,,,0,1194.9,0,0,
1971-08-10,31.08,12.765,21.9225,0,1788,,,0,1194.9,0,0,
1971-08-11,29.415,10.545,19.98,0,1788,,,0,1194.9,0,0,
1971-08-12,27.75,7.215,17.4825,0,1788,,,0,1194.9,0,0,
1971-08-13,25.53,5.55,15.54,0,1788,,,0,1194.9,0,0,
1971-08-14,24.975,7.215,16.095,0,1788,,,0,1194.9,0,0,
